,year,date,open,high,low,close,close_adjusted,volume,split_coefficient,release_time,qtr,eps_est,eps,dividend
0,1998,1998-01-02,13.63,16.25,13.5,16.25,0.5103,6411700,1.0,,,,,
1,1998,1998-01-05,16.5,16.56,15.19,15.88,0.4987,5820300,1.0,,,,,
2,1998,1998-01-06,15.94,20.0,14.75,18.94,0.5948,16182800,1.0,,,,,
3,1998,1998-01-07,18.81,19.0,17.31,17.5,0.5496,9300200,1.0,,,,,
4,1998,1998-01-08,17.44,18.62,16.94,18.19,0.5713,6910900,1.0,,,,,
5,1998,1998-01-09,18.12,19.37,17.5,18.19,0.5713,7915600,1.0,,,,,
6,1998,1998-01-12,17.44,18.62,17.12,18.25,0.5731,4610700,1.0,,,,,
7,1998,1998-01-13,18.62,19.62,18.5,19.5,0.6124,5686200,1.0,,,,,
8,1998,1998-01-14,19.87,19.94,19.25,19.75,0.6203,5261300,1.0,,,,,
9,1998,1998-01-15,19.19,19.75,18.62,19.19,0.6027,4993500,1.0,,,,,
10,1998,1998-01-16,19.44,19.44,18.69,18.81,0.5907,2199600,1.0,,,,,
11,1998,1998-01-20,19.06,19.31,18.62,19.06,0.5986,2156800,1.0,,,,,
12,1998,1998-01-21,18.75,19.06,18.56,18.91,0.5939,1698300,1.0,,,,,
13,1998,1998-01-22,18.69,19.75,18.62,19.25,0.6046,2944000,1.0,,,,,
14,1998,1998-01-23,19.37,19.69,19.25,19.5,0.6124,2081800,1.0,,,,,
15,1998,1998-01-26,19.44,19.56,18.81,19.44,0.6105,1307500,1.0,,,,,
16,1998,1998-01-27,19.19,19.69,19.0,19.12,0.6005,1002100,1.0,,,,,
17,1998,1998-01-28,19.19,19.37,18.62,19.19,0.6027,1349300,1.0,,,,,
18,1998,1998-01-29,18.94,19.12,18.5,18.5,0.581,1891800,1.0,,,,,
19,1998,1998-01-30,18.31,18.87,18.25,18.31,0.575,1450400,1.0,,,,,
20,1998,1998-02-02,18.5,18.5,17.37,17.69,0.5556,5685200,1.0,,,,,
21,1998,1998-02-03,17.69,18.62,17.69,18.31,0.575,3594800,1.0,,,,,
22,1998,1998-02-04,18.06,18.5,18.0,18.25,0.5731,1519600,1.0,,,,,
23,1998,1998-02-05,18.25,18.5,18.0,18.31,0.575,2127400,1.0,,,,,
24,1998,1998-02-06,18.37,18.69,18.25,18.5,0.581,1806600,1.0,,,,,
25,1998,1998-02-09,18.37,19.5,18.37,19.19,0.6027,4416700,1.0,,,,,
26,1998,1998-02-10,19.12,19.56,19.06,19.44,0.6105,3768000,1.0,,,,,
27,1998,1998-02-11,19.5,19.5,18.87,19.0,0.5967,1889900,1.0,,,,,
28,1998,1998-02-12,19.12,19.44,19.06,19.37,0.6083,1819200,1.0,,,,,
29,1998,1998-02-13,19.19,19.87,19.0,19.5,0.6124,1857100,1.0,,,,,
30,1998,1998-02-17,19.5,19.75,19.5,19.62,0.6162,1631700,1.0,,,,,
31,1998,1998-02-18,19.56,20.75,19.56,20.56,0.6457,4416000,1.0,,,,,
32,1998,1998-02-19,20.87,20.94,20.0,20.44,0.6419,3568400,1.0,,,,,
33,1998,1998-02-20,20.5,20.56,19.81,20.0,0.6281,2905500,1.0,,,,,
34,1998,1998-02-23,20.12,21.62,20.0,21.25,0.6674,4263300,1.0,,,,,
35,1998,1998-02-24,21.31,21.37,20.75,21.31,0.6692,4076700,1.0,,,,,
36,1998,1998-02-25,21.31,22.75,20.94,22.31,0.7007,6363100,1.0,,,,,
37,1998,1998-02-26,22.31,23.56,21.87,23.5,0.738,5313700,1.0,,,,,
38,1998,1998-02-27,23.31,23.87,22.56,23.62,0.7418,4639300,1.0,,,,,
39,1998,1998-03-02,23.56,23.56,22.25,22.75,0.7145,3575400,1.0,,,,,
40,1998,1998-03-03,21.87,23.19,21.62,23.12,0.7261,2982800,1.0,,,,,
41,1998,1998-03-04,22.87,24.75,22.87,24.44,0.7675,7302000,1.0,,,,,
42,1998,1998-03-05,23.25,24.25,23.12,24.06,0.7556,6027900,1.0,,,,,
43,1998,1998-03-06,23.87,24.5,23.37,24.44,0.7675,5950600,1.0,,,,,
44,1998,1998-03-09,23.75,24.31,22.5,22.75,0.7145,5133300,1.0,,,,,
45,1998,1998-03-10,23.0,24.5,22.94,24.06,0.7556,6365200,1.0,,,,,
46,1998,1998-03-11,25.12,26.19,24.56,26.12,0.8203,10842300,1.0,,,,,
47,1998,1998-03-12,26.12,27.0,25.56,27.0,0.8479,6646100,1.0,,,,,
48,1998,1998-03-13,27.25,27.25,26.25,27.12,0.8517,5055000,1.0,,,,,
49,1998,1998-03-16,27.12,27.25,26.19,26.69,0.8382,3592500,1.0,,,,,
50,1998,1998-03-17,26.5,26.69,25.87,26.34,0.8272,3663000,1.0,,,,,
51,1998,1998-03-18,26.0,26.94,26.0,26.94,0.8461,2473200,1.0,,,,,
52,1998,1998-03-19,26.87,26.94,26.56,26.75,0.8401,1429100,1.0,,,,,
53,1998,1998-03-20,26.69,26.87,26.0,26.37,0.8282,1923900,1.0,,,,,
54,1998,1998-03-23,25.94,26.25,24.62,26.12,0.8203,3703000,1.0,,,,,
55,1998,1998-03-24,26.37,28.0,26.25,28.0,0.8794,6035100,1.0,,,,,
56,1998,1998-03-25,27.62,27.75,26.37,27.16,0.853,3458700,1.0,,,,,
57,1998,1998-03-26,26.75,27.0,26.44,26.56,0.8341,1812200,1.0,,,,,
58,1998,1998-03-27,26.62,27.31,26.37,26.94,0.8461,2282100,1.0,,,,,
59,1998,1998-03-30,26.75,27.5,26.75,27.44,0.8618,2238400,1.0,,,,,
60,1998,1998-03-31,27.44,27.81,27.25,27.5,0.8636,2383000,1.0,,,,,
61,1998,1998-04-01,27.44,27.81,27.06,27.5,0.8636,1668600,1.0,,,,,
62,1998,1998-04-02,27.31,27.44,26.94,27.31,0.8577,1734900,1.0,,,,,
63,1998,1998-04-03,27.12,27.25,26.81,27.06,0.8498,1813100,1.0,,,,,
64,1998,1998-04-06,27.0,27.0,26.19,26.25,0.8244,3103500,1.0,,,,,
65,1998,1998-04-07,25.81,26.0,24.87,25.5,0.8008,2613400,1.0,,,,,
66,1998,1998-04-08,25.25,25.37,24.69,25.0,0.7851,2010700,1.0,,,,,
67,1998,1998-04-09,25.06,25.87,25.0,25.62,0.8046,1520600,1.0,,,,,
68,1998,1998-04-13,25.62,26.69,25.0,26.44,0.8304,2574100,1.0,,,,,
69,1998,1998-04-14,26.37,27.25,26.37,26.94,0.8461,2927200,1.0,,,,,
70,1998,1998-04-15,27.19,27.5,26.62,27.44,0.8618,4977800,1.0,,,,,
71,1998,1998-04-16,29.25,29.62,28.19,28.62,0.8988,16410300,1.0,,,,,
72,1998,1998-04-17,28.56,28.62,27.69,27.94,0.8775,5287200,1.0,,,,,
73,1998,1998-04-20,27.62,29.5,27.56,29.0,0.9108,4623000,1.0,,,,,
74,1998,1998-04-21,29.06,29.12,28.5,29.0,0.9108,3107400,1.0,,,,,
