,feature,magnitude
0,Runs,0.5820314369503207
1,double,0.11871691437369884
2,yearsOpen,0.007878655738063088
3,fastEight,0.4297678052164597
4,Snow Making_ac,0.17441464689317696
5,TerrainParks,0.01383966422164564
6,averageSnowfall,0.06452459219582282
7,fastQuads,0.22526505900165777
8,surface,0.16751757958963218
9,Cluster,0.2417524025360165
10,quad,0.11345911343819233
11,NightSkiing_ac,0.014645813802194155
12,SkiableTerrain_ac,0.27657509085598697
13,LongestRun_mi,0.031338741639456956
14,total_chairs,0.0632647704589762
15,triple,0.16381269179611688
